what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.300.201403100950,"org.eclipse.rse.subsystems.shells.telnet",1489445480367
stopped,bundle,org.eclipse.rse.useractions,1.1.500.201403100950,"org.eclipse.rse.useractions",1489445480369
stopped,bundle,org.eclipse.rse.shells.ui,3.0.500.201403271554,"org.eclipse.rse.shells.ui",1489445480372
stopped,bundle,org.eclipse.rse.files.ui,3.2.200.201507172213,"org.eclipse.rse.files.ui",1489445480372
stopped,bundle,org.eclipse.rse.processes.ui,3.0.400.201403100950,"org.eclipse.rse.processes.ui",1489445480374
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.801.v201308100602,"org.eclipse.wst.dtd.ui",1489445480377
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.800.v201510282151,"org.eclipse.wst.wsdl.ui",1489445480381
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.600.v201505131719,"org.eclipse.wst.wsi.ui",1489445480383
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.801.v201602241914,"org.eclipse.wst.jsdt.web.ui",1489445480385
stopped,bundle,org.eclipse.wst.web.ui,1.1.601.v201602221748,"org.eclipse.wst.web.ui",1489445480387
stopped,bundle,org.eclipse.wst.html.ui,1.0.1101.v201608060430,"org.eclipse.wst.html.ui",1489445480390
stopped,bundle,org.eclipse.wst.css.ui,1.0.1001.v201608060346,"org.eclipse.wst.css.ui",1489445480393
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012004,"org.eclipse.wst.xsl.exslt.ui",1489445480396
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.301.v201304222136,"org.eclipse.wst.xsl.ui",1489445480398
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.102.v201509231858,"org.eclipse.wst.xml.xpath.ui",1489445480400
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.600.v201511240159,"org.eclipse.wst.xsd.ui",1489445480408
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.302.v201304240928,"org.eclipse.wst.xsl.debug.ui",1489445480410
stopped,bundle,org.eclipse.wst.xml.ui,1.1.700.v201604272318,"org.eclipse.wst.xml.ui",1489445480413
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911182011,"org.eclipse.wst.common.ui",1489445480416
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.500.v201604292217,"org.eclipse.wst.jsdt.debug.rhino.ui",1489445480418
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.600.v201605311817,"org.eclipse.wst.jsdt.debug.ui",1489445480420
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.501.v201602241911,"org.eclipse.wst.jsdt.support.firefox",1489445480424
stopped,bundle,org.eclipse.wst.jsdt.ui,2.0.0.v201608301904,"org.eclipse.wst.jsdt.ui",1489445480483
stopped,bundle,org.eclipse.wst.json.bower.ui,1.0.0.v201605201503,"org.eclipse.wst.json.bower.ui",1489445480486
stopped,bundle,org.eclipse.wst.json.eslint.ui,1.0.0.v201605201503,"org.eclipse.wst.json.eslint.ui",1489445480488
